ID,Country,Category,Hyperlink,ISO Alpha 2 Code,TYPE,Origin,Changed and when,,,
UK01,Ukraine,Request supplies,https://requests.ugtf.app/,UA,Requests,Internal,,,,
UK02,Ukraine,Safe routes - Transportation,https://civilnavigation.com/,UA,External,External,14/04,,,
HU01,Hungary,Border Crossing,https://ukrainehelp.hu/en/#crossing,HU,External,External,,,,
HU02,Hungary,Housing,https://shelterukr.com/?countries=HUN,HU,External,External,,,,
HU03,Hungary,Financial Support from the Government,,HU,External,External,,,,
HU04,Hungary,Job Listing platform,https://www.facebook.com/groups/275824438020319,HU,External,External,,,,
HU05,Hungary,Language Learning,https://www.facebook.com/events/729997815044886/729997925044875/?ref=newsfeed,HU,External,External,,,,
HU06,Hungary,Health Care,https://ukrainehelp.hu/#medical,HU,External,External,,,,
HU07,Hungary,Legal Support,https://ukrainehelp.hu/#legal,HU,External,External,,,,
HU08,Hungary,Elementary Education,https://www.facebook.com/suhanjalapitvany/photos/a.589132167795288/7227670407274731/,HU,External,External,,,,
HU09,Hungary,Schools,https://ukrainehelp.hu/en/#children-education,HU,External,External,,,,
HU10,Hungary,Universities,https://ukrainehelp.hu/en/#children-education,HU,External,External,,,,
HU11,Hungary,Community Groups,https://www.facebook.com/groups/994143548136400/,HU,External,External,,,,
HU12,Hungary,SOS App,https://sos.ugtf.app/,HU,SOS,Internal,22/04,,,
PL01,Poland,Border Crossing,https://www.gov.pl/web/mswia-en/information-for-refugees-from-ukraine,PL,External,External,,,,
PL02,Poland,Housing,https://docs.google.com/document/d/15ExMGnUCgnjz0ObQsyk3K5sAPbOBMYskeegZJb4p7Ao/edit#heading=h.282nbtiq3d53,PL,External,External,,,,
PL03,Poland,Financial Support from the Government,https://www.gov.pl/web/gov/otrymayte-odnorazovu-hroshovu-dopomohu,PL,External,External,,,,
PL04,Poland,Job Listing platform,https://www.gov.pl/web/ua/akshcho-Vy-bizhenets-z-Ukrayiny-Os-mozhlyva-dopomoha-Vam-i-Vashiy-rodyni-u-poshuku-roboty,PL,External,External,,,,
PL05,Poland,Language Learning,https://docs.google.com/document/d/15ExMGnUCgnjz0ObQsyk3K5sAPbOBMYskeegZJb4p7Ao/edit#heading=h.juc46y1gx5rd,PL,External,External,,,,
PL06,Poland,Health Care,https://docs.google.com/document/d/15ExMGnUCgnjz0ObQsyk3K5sAPbOBMYskeegZJb4p7Ao/edit#heading=h.6870e3agxy5g,PL,External,External,,,,
PL07,Poland,Legal Support,https://www.gov.pl/web/ua/Yurydychna-dopomoha,PL,External,External,,,,
PL08,Poland,Elementary Education,https://www.gov.pl/web/ua/Navchannya-v-Polshchi-zapyshit-svoyu-dytynu-do-shkoly,PL,External,External,,,,
PL09,Poland,Schools,https://www.gov.pl/web/ua/Navchannya-ta-naukova-diyalnist-v-Polshchi,PL,External,External,,,,
,Poland,Universities,,,,,,,,
PL10,Poland,Community Groups,https://www.facebook.com/groups/361582645813862/,PL,External,External,,,,
PL11,Poland,SOS App,https://sos.ugtf.app/,PL,SOS,Internal,22/04,,,
RO01,Romania,Border Crossing,https://drive.google.com/file/d/1cCWxW3R8sxGyhAmwsnyQjaRTQWrqTIov/view?usp=sharing,RO,External,External,14/04,,,
RO02,Romania,Housing,https://refugees.ro/,RO,External,External,,,,
,Romania,Financial Support from the Government,,,,,,,,
RO03,Romania,Job Listing platform,https://www.ajutamucraina.info/ua/jobs,RO,External,External,14/04,,,
RO04,Romania,Language Learning,https://dopomoha.ro/uk/rozmovnik,RO,External,External,,,,
RO05,Romania,Health Care,https://www.ajutamucraina.info/ua/medical,RO,External,External,14/04,,,
RO06,Romania,Legal Support,https://dopomoha.ro/uk,RO,External,External,,,,
RO07,Romania,Elementary Education,https://www.edu.ro/alaturi_de_Ucraina,RO,External,External,,,,
RO08,Romania,Schools,https://www.edu.ro/alaturi_de_Ucraina,RO,External,External,,,,
,Romania,Universities,,,,,,,,
RO09,Romania,Community Groups,https://www.ajutamucraina.info/ua/socialmedia,RO,External,External,14/04,https://www.facebook.com/groups/unitipentruucraina/,,
RO10,Romania,SOS App,https://sos.ugtf.app/,RO,SOS,Internal,22/04,,,
MD01,Moldova,Border Crossing,https://docs.google.com/document/d/1Vg9mzXbk9Ae8-UIpFTXNelhZwCvX1EvB_r4-78wZiHc/edit?usp=sharing,MD,External,External,,,,https://dopomoga.gov.md/
MD02,Moldova,Housing,https://docs.google.com/document/d/1tP-TXMJFywSMs15Nr9RqOXY7DbIuuHb7zoTQyr8i_G4/edit?usp=sharing,MD,External,External,,,,
,Moldova,Financial Support from the Government,,,,,,,,
MD03,Moldova,Job Listing platform,https://www.rabota.md/ru/all/help,MD,External,External,,,,
MD04,Moldova,Language Learning,https://www.aclab.center/,MD,External,External,,,,
MD05,Moldova,Health Care,http://doctoronline.care/,MD,External,External,,,,
MD06,Moldova,Legal Support,https://visitukraine.today/uk/blog/184/moldova-glavnaya-informaciya-dlya-bezencev-s-ukrainy,MD,External,External,,,,
MD07,Moldova,Elementary Education,https://mec.gov.md/ro/content/procedura-pentru-incadrarea-copiilor-din-familiile-refugiate-din-ucraina-institutiile-de,MD,External,External,,,,
MD08,Moldova,Schools,https://educatieonline.md/,MD,External,External,,,,
MD09,Moldova,Universities,https://dopomoga.gov.md/university/,MD,External,External,,,,
MD10,Moldova,Community Groups,https://www.facebook.com/groups/347615063908402,MD,External,External,,,,
MD11,Moldova,SOS App,https://sos.ugtf.app/,MD,SOS,Internal,22/04,,,
,Germany,Entry steps,,,,,,,,
,Germany,Housing,,,,,,,,
,Germany,Financial Support from the Government,,,,,,,,
,Germany,Job Listing platform,,,,,,,,
,Germany,Language Learning,,,,,,,,
,Germany,Health Care,,,,,,,,
,Germany,Legal Support,,,,,,,,
,Germany,Elementary Education,,,,,,,,
,Germany,Schools,,,,,,,,
,Germany,Universities,,,,,,,,
,Germany,Community Groups,,,,,,,,
,UK,Entry steps,,,,,,,,
,UK,Housing,,,,,,,,
,UK,Financial Support from the Government,,,,,,,,
,UK,Job Listing platform,,,,,,,,
,UK,Language Learning,,,,,,,,
,UK,Health Care,,,,,,,,
,UK,Legal Support,,,,,,,,
,UK,Elementary Education,,,,,,,,
,UK,Schools,,,,,,,,
,UK,Universities,,,,,,,,
,UK,Community Groups,,,,,,,,